Geneid	SAMPLE_ID_S4_Aligned.sortedByCoord.out.bam
ENSG00000223972	0
ENSG00000227232	87
ENSG00000278267	5
ENSG00000243485	0
ENSG00000284332	0
ENSG00000237613	0
ENSG00000268020	0
ENSG00000240361	0
ENSG00000186092	0
ENSG00000238009	0
ENSG00000239945	0
ENSG00000233750	0
ENSG00000268903	6
ENSG00000269981	2
ENSG00000239906	0
ENSG00000241860	16
ENSG00000222623	0
ENSG00000241599	0
ENSG00000279928	0
ENSG00000279457	111
ENSG00000273874	0
ENSG00000228463	14
ENSG00000236679	1
ENSG00000236601	0
