EnsemblID,gene,baseMean,baseMean_Group1,baseMean_Group4,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000113356,POLR3G,567.713435311026,981.728595450135,153.698275171916,-2.67536851007662,0.542054439548612,-4.93560851988315,7.9901237090462e-07,0.0262643356440058
ENSG00000100196,KDELR3,446.930868592463,746.080309827069,147.781427357857,-2.33657025419823,0.546089194762919,-4.27873372446534,1.87959554796509e-05,0.114476245664602
ENSG00000144895,EIF2A,1819.18783742493,3067.78924324181,570.586431608049,-2.42645840797617,0.570027693631249,-4.25673776043913,2.07431423609818e-05,0.114476245664602
ENSG00000159658,EFCAB14,1938.96325382315,3132.50016512137,745.426342524932,-2.07110549107535,0.486734838715982,-4.25510016200808,2.08955454348092e-05,0.114476245664602
ENSG00000168398,BDKRB2,77.0944188473662,11.3810448696822,142.80779282505,3.67023803086265,0.834737278493836,4.39687806621632,1.09818996066093e-05,0.114476245664602
ENSG00000196850,PPTC7,1763.92816082669,2853.36403127409,674.492290379291,-2.08089485793418,0.48849105641009,-4.25984228498805,2.0457120082022e-05,0.114476245664602
ENSG00000169241,SLC50A1,816.360955506675,1301.21284077916,331.509070234186,-1.97299080046433,0.504979175063121,-3.90707359410951,9.34207061197084e-05,0.403408498383353
ENSG00000175582,RAB6A,2754.75053502353,4303.3024766964,1206.19859335066,-1.83495011579047,0.471098355292344,-3.89504674592162,9.81797933457096e-05,0.403408498383353
ENSG00000109519,GRPEL1,2149.75675391207,3335.53473551446,963.978772309676,-1.79089117464952,0.475952065040242,-3.76275534070453,0.000168051585971207,0.540156121688173
ENSG00000135446,CDK4,3305.40858665956,5120.93221233933,1489.88496097979,-1.78121747255999,0.475689932414131,-3.74449268564565,0.000180758642528974,0.540156121688173
ENSG00000204682,CASC10,697.518602028321,235.99247251796,1159.04473153868,2.29628761754832,0.613210003301823,3.74470019273003,0.000180609317074196,0.540156121688173
ENSG00000100526,CDKN3,1581.06966470584,2622.63950693041,539.499822481266,-2.28152434953698,0.619263622101208,-3.68425379452388,0.000229373612465215,0.628311667945341
ENSG00000269343,ZNF587B,350.529998289808,568.611155174606,132.448841405011,-2.10223396266339,0.58431174656586,-3.59779514106762,0.000320926230305337,0.811474316643596
ENSG00000172340,SUCLG2,2396.43448200321,3761.21844779062,1031.6505162158,-1.8661158760166,0.524585227990786,-3.55731685995813,0.000374662131955462,0.879679924250571
ENSG00000003989,SLC7A2,1367.74242008963,1810.35816096997,925.126679209297,-0.968477082732776,0.489827812120873,-1.97717863046492,0.0480214422270546,0.999647650132259
ENSG00000004799,PDK4,685.795753698116,247.169656024131,1124.4218513721,2.18553230375701,0.855819439654461,2.55373061476545,0.0106575676050305,0.999647650132259
ENSG00000004897,CDC27,4742.05351924208,6731.86909130486,2752.2379471793,-1.29041359782538,0.491348351448614,-2.62627033146834,0.00863262271881303,0.999647650132259
ENSG00000005001,PRSS22,100.035366389126,35.4298386222443,164.640894156009,2.21707704484472,0.643646540636215,3.44455676348892,0.000571996518363742,0.999647650132259
ENSG00000005100,DHX33,2146.94159726027,2929.22517244946,1364.65802207109,-1.10211698536669,0.553330856980117,-1.99178659831417,0.0463944773006528,0.999647650132259
ENSG00000006210,CX3CL1,535.808975539834,200.055722020264,871.562229059404,2.12464350197819,1.07314331376994,1.97983202682811,0.0477224063430895,0.999647650132259
ENSG00000008282,SYPL1,3730.9383257553,5696.6584088747,1765.2182426359,-1.69032152467598,0.518012052259026,-3.26309304446599,0.00110203332141999,0.999647650132259
ENSG00000012660,ELOVL5,4946.81410957177,7483.30190445271,2410.32631469082,-1.63446726358375,0.472535964405584,-3.45892669913452,0.00054233247760124,0.999647650132259
ENSG00000018625,ATP1A2,23.4357893957036,7.8564359722732,39.0151428191339,2.32712374305828,1.08506405967093,2.14468788484622,0.0319778101984412,0.999647650132259
ENSG00000021826,CPS1,88.0757962926686,130.549941783278,45.6016508020592,-1.5203196879123,0.746642706379423,-2.03620778040482,0.0417294953234062,0.999647650132259
ENSG00000031691,CENPQ,620.566976440019,1010.64355419272,230.490398687316,-2.13316366940984,0.792901323966575,-2.69032678459718,0.00713820813051009,0.999647650132259
ENSG00000039068,CDH1,106.776984458518,26.9819302747942,186.572038642242,2.7850377467748,1.2661199539069,2.19966341907885,0.0278307840123646,0.999647650132259
ENSG00000047346,FAM214A,494.935200274504,293.053563998697,696.81683655031,1.25013619614983,0.568708772380509,2.19820100702333,0.0279347849583012,0.999647650132259
ENSG00000047597,XK,294.105318174406,456.354807686621,131.85582866219,-1.79230462759584,0.906836708614219,-1.97643590138157,0.0481054287700639,0.999647650132259
ENSG00000049283,EPN3,38.3588401888013,12.0323959148121,64.6852844627905,2.42548261963631,0.828191545536259,2.92864933566279,0.00340438252953934,0.999647650132259
ENSG00000051180,RAD51,629.348820139848,928.008819694773,330.688820584923,-1.4889698465071,0.514366054516833,-2.89476693384395,0.00379440143449454,0.999647650132259
ENSG00000055208,TAB2,3368.59447832187,4678.77868119973,2058.41027544402,-1.18451559663853,0.533625680929828,-2.21974998387361,0.0264357438013707,0.999647650132259
ENSG00000057657,PRDM1,138.63532479409,64.865419583528,212.405230004653,1.7094409498314,0.658149664624355,2.59734379840044,0.00939478391271628,0.999647650132259
ENSG00000060566,CREB3L3,69.8406746549268,18.6300103897164,121.051338920137,2.69216003500468,0.961969164361251,2.79859286008641,0.00513258089109786,0.999647650132259
ENSG00000060749,QSER1,3820.62497586566,5291.0189337886,2350.23101794272,-1.1707693502397,0.494732485164053,-2.36646952716573,0.0179586526018035,0.999647650132259
