EnsemblID,baseMean,baseMean_GroupA,baseMean_GroupB,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000104147,386.5361692,588.4812448,184.5910937,-1.67166884,0.802691232,-2.082580168,0.037289508,0.99964765
ENSG00000104626,1185.829146,1744.552512,627.1057809,-1.476279031,0.526729887,-2.802725018,0.005067285,0.99964765
ENSG00000105865,295.4105324,409.8090337,181.0120312,-1.177957653,0.591856887,-1.990274473,0.046560708,0.99964765
ENSG00000105967,8.835653586,16.67595725,0.995349918,-4.028188469,2.013840196,-2.000252293,0.045473028,0.99964765
ENSG00000106609,3420.007409,4741.924085,2098.090734,-1.17648064,0.546699378,-2.151969961,0.03139972,0.99964765
ENSG00000106785,1641.686623,2687.759526,595.6137196,-2.174224183,0.776774187,-2.799042784,0.005125435,0.99964765
ENSG00000107929,3927.597055,5482.617151,2372.57696,-1.208456644,0.512595631,-2.357524274,0.018397252,0.99964765
ENSG00000107937,4030.660931,5730.94964,2330.372222,-1.298287571,0.547697317,-2.370447197,0.017766582,0.99964765
ENSG00000109805,4721.527149,6643.393689,2799.660608,-1.246727638,0.591243852,-2.10865218,0.034974615,0.99964765
ENSG00000110108,5025.7909,7116.439985,2935.141816,-1.277740708,0.469926031,-2.719025172,0.006547463,0.99964765
ENSG00000110917,7003.387055,9281.56916,4725.204949,-0.973976667,0.477963407,-2.037764087,0.041573532,0.99964765
ENSG00000111247,1378.189025,2086.549279,669.8287703,-1.639509228,0.634032907,-2.585842488,0.009714131,0.99964765
ENSG00000111445,1079.076092,1637.048055,521.1041297,-1.651794982,0.618829463,-2.66922485,0.007602654,0.99964765
ENSG00000111845,1352.125017,2097.348905,606.9011283,-1.788926476,0.513367764,-3.48468798,0.000492711,0.99964765
ENSG00000112742,1716.140902,2270.225693,1162.056111,-0.966228659,0.492134802,-1.963341456,0.049606511,0.99964765
ENSG00000113048,2377.204126,3368.233473,1386.174779,-1.281006577,0.547369562,-2.340295599,0.019268482,0.99964765
ENSG00000113368,5434.186533,8669.009864,2199.363202,-1.978709664,0.572172086,-3.45824222,0.000543712,0.99964765
ENSG00000113580,4001.993803,5408.554652,2595.432954,-1.059313581,0.493368522,-2.14710411,0.031784994,0.99964765
ENSG00000113648,5542.691164,7825.585273,3259.797055,-1.263461615,0.566533878,-2.230160745,0.025736773,0.99964765
ENSG00000114209,1663.86789,2427.916171,899.819608,-1.431793926,0.679923211,-2.105817102,0.035220243,0.99964765
ENSG00000114790,1791.672625,2694.981512,888.3637388,-1.600835271,0.751575357,-2.129973072,0.033173837,0.99964765
ENSG00000116701,116.2457245,179.9223489,52.56910023,-1.776302543,0.638574978,-2.781666371,0.00540806,0.99964765
ENSG00000118513,22.67644639,38.0352428,7.317649968,-2.380977799,1.133540911,-2.100478046,0.03568681,0.99964765
ENSG00000118816,6122.245273,8186.348257,4058.142289,-1.012439128,0.5163074,-1.96092314,0.04988799,0.99964765
ENSG00000119285,2709.463324,3796.730565,1622.196083,-1.226741336,0.516847957,-2.373505243,0.017620143,0.99964765
ENSG00000119392,1057.952116,1391.58608,724.3181531,-0.94202591,0.478207273,-1.9699113,0.048848537,0.99964765
ENSG00000119541,956.2380876,1352.304356,560.1718188,-1.271377115,0.494454265,-2.57127343,0.010132529,0.99964765
ENSG00000120868,921.5345193,1296.408386,546.6606528,-1.246173493,0.63154407,-1.973216998,0.048470845,0.99964765
ENSG00000121579,6109.392312,8978.029069,3240.755556,-1.470012836,0.583044116,-2.521272055,0.011693141,0.99964765
ENSG00000123374,1683.516235,2502.475072,864.5573989,-1.533527066,0.670523937,-2.287057897,0.022192444,0.99964765
ENSG00000123473,1804.412336,2506.661542,1102.163131,-1.185518389,0.494841655,-2.395753016,0.016586262,0.99964765
ENSG00000124120,1710.268606,2541.276391,879.2608205,-1.531165545,0.503063497,-3.043682464,0.002337017,0.99964765
ENSG00000125871,1513.836891,2031.41344,996.2603424,-1.027756093,0.509357749,-2.017749009,0.043617408,0.99964765
ENSG00000127528,513.4064832,728.1811844,298.631782,-1.286567111,0.625155247,-2.05799618,0.0395905,0.99964765
ENSG00000128923,1069.992867,1606.552939,533.4327949,-1.590272788,0.66184314,-2.402794096,0.016270346,0.99964765
ENSG00000129515,3377.617338,4959.048853,1796.185823,-1.465018054,0.612328514,-2.392536066,0.016732384,0.99964765
ENSG00000130150,652.7469028,912.8353123,392.6584933,-1.217278621,0.505535434,-2.4078997,0.016044588,0.99964765
ENSG00000130826,4949.17786,6975.684634,2922.671087,-1.255110129,0.572281845,-2.193167823,0.02829529,0.99964765
ENSG00000131153,1107.66832,1541.433838,673.9028024,-1.193466671,0.518936192,-2.29983318,0.021457673,0.99964765
ENSG00000131374,1352.167278,2068.408346,635.9262106,-1.701293533,0.729805262,-2.331160958,0.019744874,0.99964765
ENSG00000131844,2649.251263,3725.548638,1572.953888,-1.243880787,0.51610044,-2.41015254,0.015945852,0.99964765
ENSG00000135069,3836.771415,6082.447455,1591.095375,-1.934736842,0.845601577,-2.288000513,0.022137491,0.99964765
ENSG00000135318,15714.12496,22002.38414,9425.865777,-1.222961074,0.464097964,-2.635135619,0.008410367,0.99964765
ENSG00000135535,5731.827909,8929.132018,2534.5238,-1.816727525,0.889253682,-2.042980042,0.041054414,0.99964765
ENSG00000135698,900.1562233,1303.160493,497.1519541,-1.389847665,0.685672819,-2.026983755,0.042664074,0.99964765
ENSG00000136003,1161.20724,1627.225682,695.1887975,-1.227137305,0.527680823,-2.325529469,0.020043666,0.99964765
ENSG00000136518,2969.674929,4336.867393,1602.482465,-1.436260818,0.508113478,-2.826653648,0.004703717,0.99964765
ENSG00000136826,1233.914435,1775.742855,692.0860142,-1.359547264,0.499153683,-2.72370476,0.006455419,0.99964765
ENSG00000136868,2476.734914,3406.644899,1546.824928,-1.139157795,0.550609169,-2.068904514,0.038555048,0.99964765
ENSG00000137804,363.8945245,561.6181589,166.1708901,-1.75666002,0.559158176,-3.141615547,0.001680185,0.99964765
ENSG00000138678,2451.576033,3719.974895,1183.177171,-1.652470591,0.736121914,-2.244832763,0.024778871,0.99964765
ENSG00000138778,4467.475258,6486.281424,2448.669092,-1.405435211,0.586380655,-2.396796688,0.016539098,0.99964765
ENSG00000138942,628.2361639,942.3787661,314.0935617,-1.585469892,0.524608132,-3.022198467,0.00250946,0.99964765
ENSG00000139324,1765.432044,2458.235765,1072.628323,-1.196591332,0.518027016,-2.309901404,0.020893613,0.99964765
ENSG00000139433,1131.920423,1770.904578,492.936268,-1.845356396,0.857397896,-2.152275397,0.03137567,0.99964765
ENSG00000139505,2017.939113,3053.14733,982.7308958,-1.63537514,0.487033471,-3.357829059,0.000785572,0.99964765
ENSG00000139618,1813.324539,2436.523147,1190.12593,-1.033573395,0.526782349,-1.962050165,0.049756644,0.99964765
ENSG00000139921,6193.90855,8792.671477,3595.145624,-1.290191256,0.615991955,-2.094493677,0.036216026,0.99964765
ENSG00000140575,17224.16889,23160.15623,11288.18154,-1.036836482,0.470900616,-2.201815938,0.027678313,0.99964765
ENSG00000144583,1032.360194,1665.533343,399.1870443,-2.060439833,0.902157376,-2.283902884,0.022377239,0.99964765
ENSG00000144840,485.1726792,679.3965925,290.9487659,-1.22351271,0.513922691,-2.380733001,0.01727823,0.99964765
ENSG00000145555,3062.251844,4369.57939,1754.924298,-1.316096252,0.528186157,-2.49172803,0.012712334,0.99964765
ENSG00000145604,1205.010818,1845.143506,564.8781303,-1.707921613,0.522987722,-3.265701165,0.001091934,0.99964765
ENSG00000145725,2034.624523,2929.859156,1139.389891,-1.362743452,0.63768149,-2.137028398,0.032595682,0.99964765
ENSG00000146281,1687.087554,2514.529862,859.6452462,-1.548641646,0.530272052,-2.920466277,0.00349508,0.99964765
ENSG00000147416,2650.456197,3673.614713,1627.297682,-1.174831902,0.547383031,-2.146270226,0.031851426,0.99964765
ENSG00000148229,3041.062798,4660.864938,1421.260659,-1.713542119,0.588532219,-2.911551933,0.003596381,0.99964765
ENSG00000151233,2053.057068,2781.196169,1324.917967,-1.069933543,0.533902872,-2.003985365,0.045071628,0.99964765
ENSG00000151239,4421.820312,6206.824411,2636.816214,-1.235132345,0.592267754,-2.08542899,0.037030378,0.99964765
ENSG00000151503,4664.725752,6261.767806,3067.683699,-1.029409969,0.493694968,-2.08511335,0.037059013,0.99964765
ENSG00000152056,537.5762211,830.1279017,245.0245404,-1.759938203,0.5401458,-3.258265091,0.001120956,0.99964765
ENSG00000152332,5825.147248,8635.188995,3015.105501,-1.518082609,0.713821502,-2.126697788,0.033445201,0.99964765
ENSG00000153574,1041.154231,1595.367984,486.9404771,-1.711683111,0.789257032,-2.168727095,0.030103409,0.99964765
ENSG00000154473,7063.851647,10489.18264,3638.520649,-1.527511796,0.554733037,-2.753598027,0.005894412,0.99964765
ENSG00000154640,794.5357192,1115.795832,473.2756066,-1.237240794,0.496057499,-2.494147949,0.012625991,0.99964765
ENSG00000155111,437.0539135,617.2005694,256.9072576,-1.264530993,0.520232725,-2.430702515,0.015069582,0.99964765
ENSG00000155755,722.2603827,1029.890632,414.6301336,-1.312321242,0.59448661,-2.207486628,0.02728008,0.99964765
ENSG00000156802,8277.395917,11457.48242,5097.309409,-1.168459073,0.518422539,-2.253873984,0.024204097,0.99964765
ENSG00000158526,1345.419989,1994.287349,696.5526286,-1.517807757,0.566319308,-2.68012716,0.00735942,0.99964765
ENSG00000159593,1793.062093,2626.664165,959.4600213,-1.452806657,0.509660533,-2.850537883,0.004364535,0.99964765
ENSG00000160352,725.7759017,1137.126322,314.4254816,-1.854680224,0.581631007,-3.188757478,0.001428857,0.99964765
ENSG00000160633,4285.317972,5714.104556,2856.531387,-1.000258766,0.475342621,-2.10429009,0.03535315,0.99964765
ENSG00000160877,3370.80914,4598.534072,2143.084207,-1.101571799,0.548207754,-2.009405725,0.044494124,0.99964765
ENSG00000161692,1216.468354,1729.07184,703.8648678,-1.296492883,0.617010199,-2.101250328,0.035618998,0.99964765
ENSG00000161980,547.6180679,819.5339633,275.7021726,-1.571229091,0.539782274,-2.910857147,0.003604388,0.99964765
ENSG00000162368,3652.171479,5409.830385,1894.512574,-1.513724854,0.486516536,-3.11135335,0.001862319,0.99964765
ENSG00000163428,4109.728546,5655.991249,2563.465843,-1.141703318,0.486858813,-2.34503985,0.019025046,0.99964765
ENSG00000163577,1309.631203,2088.274784,530.9876212,-1.975257352,0.619654253,-3.187676581,0.001434209,0.99964765
ENSG00000163584,1153.696657,1712.113401,595.2799137,-1.523851078,0.709481615,-2.147837302,0.031726683,0.99964765
ENSG00000163781,2671.074315,3541.991981,1800.156648,-0.976469619,0.476120134,-2.050889151,0.040277743,0.99964765
ENSG00000163808,1494.035265,2188.164151,799.9063801,-1.451871064,0.542148213,-2.677996588,0.007406397,0.99964765
ENSG00000163904,1999.692202,2707.849926,1291.534478,-1.067947369,0.508956756,-2.098306694,0.035878062,0.99964765
ENSG00000163950,3751.385314,5132.163791,2370.606836,-1.114388617,0.555260429,-2.006965666,0.044753319,0.99964765
ENSG00000164022,1656.741962,2326.400033,987.0838917,-1.236861424,0.479108472,-2.581589551,0.009834647,0.99964765
ENSG00000164023,1870.663119,2694.789084,1046.537154,-1.364625711,0.492926882,-2.768414063,0.005632984,0.99964765
ENSG00000164164,3709.594764,5166.420744,2252.768784,-1.19755527,0.59756794,-2.004048727,0.045064841,0.99964765
ENSG00000164362,41.73394173,67.19519929,16.27268417,-2.051740322,1.002222714,-2.047190005,0.040639432,0.99964765
ENSG00000165118,1021.319855,1516.709011,525.9306995,-1.527988,0.488250776,-3.129514738,0.001750953,0.99964765
ENSG00000165140,111.6913167,188.3181493,35.06448405,-2.428089572,0.752310566,-3.227509595,0.001248729,0.99964765
ENSG00000165480,2004.378333,2764.390396,1244.36627,-1.151449974,0.518754269,-2.219644334,0.02644292,0.99964765
ENSG00000167601,29917.31494,41537.72261,18296.90726,-1.182825277,0.488555337,-2.421067152,0.015475018,0.99964765
ENSG00000167862,919.0390673,1273.934261,564.1438733,-1.175470864,0.576764135,-2.038044312,0.041545502,0.99964765
ENSG00000167986,12176.25132,16176.18138,8176.32126,-0.98433761,0.471686412,-2.086847498,0.036901922,0.99964765
