,SAMPLE_ID_S1_count.txt,SAMPLE_ID_S3_count.txt,SAMPLE_ID_S2_count.txt,SAMPLE_ID_S4_count.txt
SAMPLE_ID_S1_count.txt,1,0.042695267,0.943010332,0.010808435
SAMPLE_ID_S3_count.txt,0.042695267,1,0.024728263,0.973772083
SAMPLE_ID_S2_count.txt,0.943010332,0.024728263,1,0.022888125
SAMPLE_ID_S4_count.txt,0.010808435,0.973772083,0.022888125,1
